"REGION","TECHNOLOGY","YEAR","Val"
"ATX","COALPP","2015",1
"ATX","COALPP","2016",1
"ATX","COALPP","2017",1
"ATX","COALPP","2018",1
"ATX","COALPP","2019",1
"ATX","COALPP","2020",1
"ATX","COALPP","2021",1
"ATX","COALPP","2022",1
"ATX","COALPP","2023",1
"ATX","COALPP","2024",1
"ATX","COALPP","2025",1
"ATX","COALPP","2026",1
"ATX","COALPP","2027",1
"ATX","COALPP","2028",1
"ATX","COALPP","2029",1
"ATX","COALPP","2030",1
"ATX","COALPP","2031",1
"ATX","COALPP","2032",1
"ATX","COALPP","2033",1
"ATX","COALPP","2034",1
"ATX","COALPP","2035",1
"ATX","COALPP","2036",1
"ATX","COALPP","2037",1
"ATX","COALPP","2038",1
"ATX","COALPP","2039",1
"ATX","COALPP","2040",1
"ATX","COALPP","2041",1
"ATX","COALPP","2042",1
"ATX","COALPP","2043",1
"ATX","COALPP","2044",1
"ATX","COALPP","2045",1
"ATX","COALPP","2046",1
"ATX","COALPP","2047",1
"ATX","COALPP","2048",1
"ATX","COALPP","2049",1
"ATX","COALPP","2050",1
"ATX","CCPP","2015",1
"ATX","CCPP","2016",1
"ATX","CCPP","2017",1
"ATX","CCPP","2018",1
"ATX","CCPP","2019",1
"ATX","CCPP","2020",1
"ATX","CCPP","2021",1
"ATX","CCPP","2022",1
"ATX","CCPP","2023",1
"ATX","CCPP","2024",1
"ATX","CCPP","2025",1
"ATX","CCPP","2026",1
"ATX","CCPP","2027",1
"ATX","CCPP","2028",1
"ATX","CCPP","2029",1
"ATX","CCPP","2030",1
"ATX","CCPP","2031",1
"ATX","CCPP","2032",1
"ATX","CCPP","2033",1
"ATX","CCPP","2034",1
"ATX","CCPP","2035",1
"ATX","CCPP","2036",1
"ATX","CCPP","2037",1
"ATX","CCPP","2038",1
"ATX","CCPP","2039",1
"ATX","CCPP","2040",1
"ATX","CCPP","2041",1
"ATX","CCPP","2042",1
"ATX","CCPP","2043",1
"ATX","CCPP","2044",1
"ATX","CCPP","2045",1
"ATX","CCPP","2046",1
"ATX","CCPP","2047",1
"ATX","CCPP","2048",1
"ATX","CCPP","2049",1
"ATX","CCPP","2050",1
"ATX","CTPP","2015",1
"ATX","CTPP","2016",1
"ATX","CTPP","2017",1
"ATX","CTPP","2018",1
"ATX","CTPP","2019",1
"ATX","CTPP","2020",1
"ATX","CTPP","2021",1
"ATX","CTPP","2022",1
"ATX","CTPP","2023",1
"ATX","CTPP","2024",1
"ATX","CTPP","2025",1
"ATX","CTPP","2026",1
"ATX","CTPP","2027",1
"ATX","CTPP","2028",1
"ATX","CTPP","2029",1
"ATX","CTPP","2030",1
"ATX","CTPP","2031",1
"ATX","CTPP","2032",1
"ATX","CTPP","2033",1
"ATX","CTPP","2034",1
"ATX","CTPP","2035",1
"ATX","CTPP","2036",1
"ATX","CTPP","2037",1
"ATX","CTPP","2038",1
"ATX","CTPP","2039",1
"ATX","CTPP","2040",1
"ATX","CTPP","2041",1
"ATX","CTPP","2042",1
"ATX","CTPP","2043",1
"ATX","CTPP","2044",1
"ATX","CTPP","2045",1
"ATX","CTPP","2046",1
"ATX","CTPP","2047",1
"ATX","CTPP","2048",1
"ATX","CTPP","2049",1
"ATX","CTPP","2050",1
"ATX","NUCPP","2015",1
"ATX","NUCPP","2016",1
"ATX","NUCPP","2017",1
"ATX","NUCPP","2018",1
"ATX","NUCPP","2019",1
"ATX","NUCPP","2020",1
"ATX","NUCPP","2021",1
"ATX","NUCPP","2022",1
"ATX","NUCPP","2023",1
"ATX","NUCPP","2024",1
"ATX","NUCPP","2025",1
"ATX","NUCPP","2026",1
"ATX","NUCPP","2027",1
"ATX","NUCPP","2028",1
"ATX","NUCPP","2029",1
"ATX","NUCPP","2030",1
"ATX","NUCPP","2031",1
"ATX","NUCPP","2032",1
"ATX","NUCPP","2033",1
"ATX","NUCPP","2034",1
"ATX","NUCPP","2035",1
"ATX","NUCPP","2036",1
"ATX","NUCPP","2037",1
"ATX","NUCPP","2038",1
"ATX","NUCPP","2039",1
"ATX","NUCPP","2040",1
"ATX","NUCPP","2041",1
"ATX","NUCPP","2042",1
"ATX","NUCPP","2043",1
"ATX","NUCPP","2044",1
"ATX","NUCPP","2045",1
"ATX","NUCPP","2046",1
"ATX","NUCPP","2047",1
"ATX","NUCPP","2048",1
"ATX","NUCPP","2049",1
"ATX","NUCPP","2050",1
"ATX","HYDROPP","2015",1
"ATX","HYDROPP","2016",1
"ATX","HYDROPP","2017",1
"ATX","HYDROPP","2018",1
"ATX","HYDROPP","2019",1
"ATX","HYDROPP","2020",1
"ATX","HYDROPP","2021",1
"ATX","HYDROPP","2022",1
"ATX","HYDROPP","2023",1
"ATX","HYDROPP","2024",1
"ATX","HYDROPP","2025",1
"ATX","HYDROPP","2026",1
"ATX","HYDROPP","2027",1
"ATX","HYDROPP","2028",1
"ATX","HYDROPP","2029",1
"ATX","HYDROPP","2030",1
"ATX","HYDROPP","2031",1
"ATX","HYDROPP","2032",1
"ATX","HYDROPP","2033",1
"ATX","HYDROPP","2034",1
"ATX","HYDROPP","2035",1
"ATX","HYDROPP","2036",1
"ATX","HYDROPP","2037",1
"ATX","HYDROPP","2038",1
"ATX","HYDROPP","2039",1
"ATX","HYDROPP","2040",1
"ATX","HYDROPP","2041",1
"ATX","HYDROPP","2042",1
"ATX","HYDROPP","2043",1
"ATX","HYDROPP","2044",1
"ATX","HYDROPP","2045",1
"ATX","HYDROPP","2046",1
"ATX","HYDROPP","2047",1
"ATX","HYDROPP","2048",1
"ATX","HYDROPP","2049",1
"ATX","HYDROPP","2050",1
"ATX","WINDPP","2015",1
"ATX","WINDPP","2016",1
"ATX","WINDPP","2017",1
"ATX","WINDPP","2018",1
"ATX","WINDPP","2019",1
"ATX","WINDPP","2020",1
"ATX","WINDPP","2021",1
"ATX","WINDPP","2022",1
"ATX","WINDPP","2023",1
"ATX","WINDPP","2024",1
